atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,1_1,-1.4428800655806497,0.1490542595701485,0.27028505735386926,False,-21.0,20,69
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,1_3,-0.8973471735767562,0.3695336916548577,0.5214394247653945,False,-21.0,20,125
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,1_4,-1.79841016194935,0.07211203359012679,0.17512922443316506,False,-45.0,20,36
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,2_1,0.4662520801656442,0.6410350748543128,0.7529235696410304,False,-10.0,20,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,2_3,0.4493765420682485,0.6531600504028626,0.7529235696410304,False,-4.0,20,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,2_4,1.390878520813348,0.1642622671709042,0.2827806118385186,False,6.0,20,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,3_0,-2.6464294696185373,0.00813464667469893,0.036877064925301815,True,-62.0,20,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,3_1,-1.807325390280467,0.07071155944593675,0.1748504015390436,False,-21.0,20,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,3_3,-1.1444944005325335,0.2524186587636279,0.3943621965127347,False,-21.0,20,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,3_4,-1.406944236758606,0.15944392474965574,0.2816152437136777,False,-77.0,20,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,4_0,0.1663070834031956,0.8679152919250883,0.9079729207831693,False,0.0,20,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,4_1,0.1946860670508915,0.8456387200853008,0.8984911400906321,False,-20.0,20,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,4_2,-3.2953230139556795,0.0009830860726899946,0.007864688581519957,True,-52.0,20,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_3,4_3,-1.076430807833903,0.28173463030556367,0.4164772795821376,False,-21.0,20,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,1_3,1.0022659848931872,0.3162151462932067,0.45750276484974584,False,0.0,69,125
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,1_4,-0.6572395524894141,0.5110268971501528,0.6553630124934415,False,-24.0,69,36
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,2_1,2.2445296826220584,0.024798341320462422,0.08647626716879205,False,11.0,69,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,2_3,1.8637704604814807,0.062353945687258036,0.16296174022974694,False,17.0,69,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,2_4,3.9881900900844784,6.65793063939215e-05,0.0010060872966192584,True,27.0,69,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,3_0,-1.9312333881749493,0.05345419676531536,0.15211200255808124,False,-41.0,69,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,3_1,-0.4759479414607764,0.6341114662149477,0.7529235696410304,False,0.0,69,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,3_3,0.32185677790907374,0.7475611984248677,0.8199058305305,False,0.0,69,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,3_4,-0.7859198122381267,0.43191446671931955,0.5815877967705688,False,-56.0,69,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,4_0,2.6166210913958734,0.008880485938552311,0.03895955121429401,True,21.0,69,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,4_1,1.6550464197109975,0.09791508217572423,0.20466578454448023,False,1.0,69,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,4_2,-2.6668293825187366,0.007657053324528017,0.035908939728821046,True,-31.0,69,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_1,4_3,0.215225022994028,0.8295918825179122,0.8883818584443783,False,0.0,69,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,1_4,-1.509080589744,0.13127818921682102,0.24796991296510637,False,-24.0,125,36
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,2_1,1.6865080208486827,0.09169799150730683,0.20178502300764112,False,11.0,125,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,2_3,1.3815816361553397,0.16710019574924428,0.2840703327737153,False,17.0,125,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,2_4,3.5273484952483076,0.00041974390081527804,0.0047570975425731505,True,27.0,125,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,3_0,-2.471566670992062,0.013452246489518573,0.052271586359272176,False,-41.0,125,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,3_1,-1.7057203340613445,0.08806016188445707,0.20178502300764112,False,0.0,125,109
